Modélisation du bassin de la SOMME Nappe_Libre (hallue.rma) [V7.5]
Date           	Date           	Charge         	Charge         	Charge         	Débit          	Débit          	Débit          	Débit_Rivi     	Débit_Rivi     	Rabattem       	Rabattem       	Rabattem       	
hallue         	hallue         	X19_Y38        	X20_Y42        	X18_Y33        	X19_Y38        	X20_Y42        	X18_Y33        	X24_Y48        	X22_Y40        	X19_Y38        	X20_Y42        	X18_Y33        	
 <Date>        	 <Date>        	h_aqu_con      	h_agri         	h_aep          	q_con          	q_agri         	q_aep          	q_riv_con      	q_riv          	r_con          	r_agri         	r_aep          	
12/11/1995 00:00	   316.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
13/11/1995 00:00	   317.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
14/11/1995 00:00	   318.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
15/11/1995 00:00	   319.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
16/11/1995 00:00	   320.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
17/11/1995 00:00	   321.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
18/11/1995 00:00	   322.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
19/11/1995 00:00	   323.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
20/11/1995 00:00	   324.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
21/11/1995 00:00	   325.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
